"CRUISE6", "CRUISE", "STRATUM", "TOW", "STATION", "STATUS_CODE", "ID", "SVSPP", "CATCHSEX", "INDID", "LENGTH", "INDWT", "SEX", "MATURITY", "AGE", "AGE_DATA_FLAG", "STOM_VOLUME", "STOM_WGT", "IND_FISH_COMMENTS"
"199470","9470","04050","006","0002","10","199470040500060002","072",,1,24,.11,"2","D",," ",,," "
"199470","9470","04050","006","0002","10","199470040500060002","072",,2,24,.12,"2","D",," ",,," "
"199470","9470","04050","006","0002","10","199470040500060002","072",,3,22,.08,"2","I",," ",,," "
"199470","9470","04050","006","0002","10","199470040500060002","072",,4,25,.12,"2","D",," ",,," "
"199470","9470","04050","006","0002","10","199470040500060002","072",,5,23,.12,"2","D",," ",,," "
"199470","9470","04050","006","0002","10","199470040500060002","076",,1,32,.2,"2","I",," ",,," "
"199470","9470","04050","006","0002","10","199470040500060002","076",,2,35,.38,"2","I",," ",,," "
"199470","9470","04050","006","0002","10","199470040500060002","076",,3,45,1.1,"1","I",," ",,," "
"199470","9470","04050","006","0002","10","199470040500060002","076",,4,62,2,"1","T",," ",,," "
"199470","9470","04050","006","0002","10","199470040500060002","076",,5,44,.95,"2","I",," ",,," "
"199470","9470","04050","006","0002","10","199470040500060002","077",,1,38,.45,"2","D",," ",,," "
"199470","9470","04050","006","0002","10","199470040500060002","077",,2,32,.28,"2","D",," ",,," "
"199470","9470","04050","006","0002","10","199470040500060002","077",,3,31,.21,"2","D",," ",,," "
"199470","9470","04050","004","0003","10","199470040500040003","072",,1,35,.38,"2","D",," ",,," "
"199470","9470","04050","004","0003","10","199470040500040003","072",,2,20,.085,"1","I",," ",,," "
"199470","9470","04050","004","0003","10","199470040500040003","072",,3,15,.02,"0","I",," ",,," "
"199470","9470","04050","004","0003","10","199470040500040003","072",,4,15,.04,"0","I",," ",,," "
"199470","9470","04050","004","0003","10","199470040500040003","072",,5,16,.045,"0","I",," ",,," "
"199470","9470","04050","004","0003","10","199470040500040003","076",,1,45,.85,"2","I",," ",,," "
"199470","9470","04050","004","0003","10","199470040500040003","077",,1,38,.44,"2","D",," ",,," "
"199470","9470","04070","004","0004","10","199470040700040004","072",,1,19,.05,"2","I",," ",,," "
"199470","9470","04070","004","0004","10","199470040700040004","072",,2,25,.13,"2","I",," ",,," "
"199470","9470","04070","004","0004","10","199470040700040004","072",,3,15,.03,"0","I",," ",,," "
"199470","9470","04070","004","0004","10","199470040700040004","072",,4,37,.395,"2","D",," ",,," "
"199470","9470","04070","004","0004","10","199470040700040004","072",,5,23,.12,"1","D",," ",,," "
"199470","9470","04070","004","0004","10","199470040700040004","076",,1,95,7.98,"2","D",," ",,," "
"199470","9470","04070","004","0004","10","199470040700040004","076",,2,62,2.3,"2","I",," ",,," "
"199470","9470","04070","004","0004","10","199470040700040004","076",,3,46,.9,"1","I",," ",,," "
"199470","9470","04070","004","0004","10","199470040700040004","076",,4,39,.45,"1","I",," ",,," "
"199470","9470","04070","001","0005","10","199470040700010005","072",,1,25,.14,"1","D",," ",,," "
"199470","9470","04070","001","0005","10","199470040700010005","072",,2,22,.14,"2","I",," ",,," "
"199470","9470","04070","001","0005","10","199470040700010005","072",,3,23,.1,"2","I",," ",,," "
"199470","9470","04070","001","0005","10","199470040700010005","072",,5,25,.16,"2","D",," ",,," "
"199470","9470","04070","001","0005","10","199470040700010005","072",,6,25,.115,"2","D",," ",,," "
"199470","9470","04070","001","0005","10","199470040700010005","077",,1,30,.415,"2","D",," ",,," "
